,Name,Overs,Maidens,Runs,Wickets,Econ,Dots,4s,6s,Wd,Nb,Team,Match_id,Season,Fantasy_Points
2,Ravichandran Ashwin,4,0,34,0,8.5,8,1,2,0,0,2,1136585,11,0
3,Manoj Tiwary,1,0,10,0,10,0,0,0,1,0,2,1136585,11,0
4,Mujeeb Ur Rahman,4,0,17,1,4.25,11,0,0,1,0,2,1136585,11,31
5,Andrew Tye,4,0,28,0,7,8,3,0,0,0,2,1136585,11,0
6,Sandeep Sharma,4,0,17,2,4.25,13,2,0,0,0,1,1136585,11,56
7,Mohammad Nabi,2,0,24,0,12,4,2,2,0,0,1,1136585,11,-6
8,Siddarth Kaul,4,0,25,0,6.25,9,3,0,0,0,1,1136585,11,0
9,Basil Thampi,2.2,0,14,2,6,6,0,1,0,0,1,1136585,11,50
10,Rashid Khan,4,0,19,3,4.75,11,2,0,0,0,1,1136585,11,85
11,Shakib Al Hasan,3,0,18,2,6,7,0,1,0,0,1,1136585,11,50
0,Piyush Chawla,4,0,33,1,8.25,10,4,1,0,0,2,1136586,11,25
1,Kuldeep Yadav,2,0,22,0,11,2,0,2,0,0,2,1136586,11,0
2,Shivam Mavi,4,0,58,1,14.5,8,3,6,1,1,2,1136586,11,19
3,Sunil Narine,3,0,35,0,11.67,4,1,3,0,0,2,1136586,11,0
4,Mitchell Johnson,4,0,42,0,10.5,9,4,3,0,0,2,1136586,11,0
5,Andre Russell,3,0,28,1,9.33,6,3,1,1,0,2,1136586,11,25
6,Trent Boult,4,0,44,2,11,9,4,3,2,0,1,1136586,11,50
7,Glenn Maxwell,2,0,22,2,11,3,2,1,0,0,1,1136586,11,50
8,Avesh Khan,4,0,29,2,7.25,12,2,2,1,0,1,1136586,11,50
9,Liam Plunkett,4,0,24,0,6,9,1,1,0,0,1,1136586,11,0
10,Amit Mishra,4,1,23,2,5.75,10,2,0,0,0,1,1136586,11,62
11,Vijay Shankar,1,0,10,0,10,1,0,1,0,0,1,1136586,11,0
12,Rahul Tewatia,1,0,11,0,11,3,1,1,0,0,1,1136586,11,0
0,Mitchell McClenaghan,4,0,26,2,6.5,10,2,1,0,0,2,1136587,11,50
1,Jasprit Bumrah,4,0,25,0,6.25,12,2,1,1,0,2,1136587,11,0
2,Hardik Pandya,4,0,39,1,9.75,8,4,2,0,0,2,1136587,11,25
3,Krunal Pandya,4,0,32,2,8,9,1,2,1,0,2,1136587,11,50
4,Mayank Markande,3,0,30,0,10,5,2,2,1,0,2,1136587,11,0
5,Ben Cutting,1,0,14,0,14,1,1,1,1,0,2,1136587,11,0
6,Deepak Chahar,2.1,0,19,0,8.77,6,3,0,1,0,1,1136587,11,0
7,Shardul Thakur,4,0,38,0,9.5,9,5,1,1,0,1,1136587,11,0
8,Shane Watson,4,0,41,0,10.25,8,2,3,1,0,1,1136587,11,0
9,Harbhajan Singh,3.5,0,20,1,5.22,7,1,0,0,0,1,1136587,11,25
10,Imran Tahir,2.4,0,26,0,9.75,5,1,2,1,0,1,1136587,11,0
11,Dwayne Bravo,3,0,21,1,7,5,2,0,1,0,1,1136587,11,25
0,Krishnappa Gowtham,4,0,18,2,4.5,10,0,0,0,0,2,1136588,11,56
1,Dhawal Kulkarni,2,0,20,0,10,4,4,0,0,0,2,1136588,11,0
2,Jofra Archer,4,0,26,3,6.5,9,2,1,0,0,2,1136588,11,79
3,Jaydev Unadkat,3,0,33,1,11,4,3,1,0,0,2,1136588,11,25
4,Ish Sodhi,3,0,25,1,8.33,3,3,0,0,0,2,1136588,11,25
5,Ben Stokes,3,0,20,0,6.67,7,2,0,0,0,2,1136588,11,0
6,Mahipal Lomror,1,0,8,0,8,1,1,0,0,0,2,1136588,11,0
7,Sandeep Sharma,4,0,15,1,3.75,14,1,0,0,0,1,1136588,11,31
8,Shakib Al Hasan,4,0,30,0,7.5,4,2,0,0,0,1,1136588,11,0
9,Basil Thampi,2,0,26,1,13,2,3,1,0,0,1,1136588,11,19
10,Siddarth Kaul,4,0,23,2,5.75,8,1,0,0,0,1,1136588,11,50
11,Rashid Khan,4,0,31,1,7.75,4,1,1,0,0,1,1136588,11,25
12,Yusuf Pathan,2,0,14,1,7,2,1,0,0,0,1,1136588,11,25
0,Piyush Chawla,3,0,22,0,7.33,10,3,1,0,0,2,1136589,11,0
1,Sunil Narine,4,0,38,0,9.5,10,4,2,0,0,2,1136589,11,0
2,Mitchell Johnson,3,0,38,0,12.67,3,2,3,1,0,2,1136589,11,-6
3,Shivam Mavi,3,0,21,0,7,7,2,0,1,0,2,1136589,11,0
4,Kuldeep Yadav,4,0,20,1,5,11,0,1,0,0,2,1136589,11,25
5,Andre Russell,3,0,31,3,10.33,4,1,2,2,0,2,1136589,11,79
6,Tim Southee,4,0,34,0,8.5,7,4,0,2,0,1,1136589,11,0
7,Umesh Yadav,3.1,0,36,0,11.37,7,3,3,0,0,1,1136589,11,0
8,Yuzvendra Chahal,4,0,29,0,7.25,10,3,1,0,0,1,1136589,11,0
9,Mohammed Siraj,4,0,40,2,10,8,4,1,4,0,1,1136589,11,50
10,Murugan Ashwin,4,0,36,2,9,8,4,1,1,0,1,1136589,11,50
0,Trent Boult,4,0,48,0,12,10,6,3,0,0,2,1136590,11,-6
1,Avesh Khan,4,0,28,0,7,11,1,2,1,0,2,1136590,11,0
2,Rahul Tewatia,2,0,23,0,11.5,2,1,2,0,0,2,1136590,11,0
3,Liam Plunkett,3,0,52,0,17.33,2,2,6,0,0,2,1136590,11,-6
4,Amit Mishra,4,0,30,1,7.5,4,1,1,0,0,2,1136590,11,25
5,Vijay Shankar,2,0,22,1,11,4,3,0,2,1,2,1136590,11,25
6,Glenn Maxwell,1,0,5,1,5,2,0,0,0,0,2,1136590,11,25
7,Lungi Ngidi,4,0,26,1,6.5,12,2,1,2,0,1,1136590,11,25
8,KM Asif,3,0,43,2,14.33,5,6,2,1,0,1,1136590,11,44
9,Shane Watson,2,0,27,0,13.5,2,2,2,0,0,1,1136590,11,-6
10,Ravindra Jadeja,4,0,31,1,7.75,6,2,1,1,0,1,1136590,11,25
11,Harbhajan Singh,4,0,26,0,6.5,8,1,1,1,0,1,1136590,11,0
12,Dwayne Bravo,3,0,43,0,14.33,3,2,4,1,0,1,1136590,11,-6
0,Jean-Paul Duminy,2,0,28,0,14,5,2,3,0,0,2,1136591,11,-6
1,Mitchell McClenaghan,4,0,34,1,8.5,13,1,3,1,1,2,1136591,11,25
2,Jasprit Bumrah,4,0,22,1,5.5,9,0,1,0,0,2,1136591,11,25
3,Krunal Pandya,4,0,24,0,6,11,1,1,0,0,2,1136591,11,0
4,Mayank Markande,3,0,28,1,9.33,7,4,1,0,0,2,1136591,11,25
5,Hardik Pandya,3,0,28,3,9.33,8,2,2,0,1,2,1136591,11,79
6,Tim Southee,4,0,25,2,6.25,14,3,1,1,0,1,1136591,11,50
7,Umesh Yadav,4,0,29,2,7.25,11,3,0,2,0,1,1136591,11,50
8,Mohammed Siraj,4,0,28,2,7,7,2,0,3,0,1,1136591,11,50
9,Yuzvendra Chahal,4,0,23,0,5.75,14,2,0,3,0,1,1136591,11,0
10,Washington Sundar,1,0,15,0,15,0,1,1,0,0,1,1136591,11,0
11,Colin de Grandhomme,3,0,28,0,9.33,7,2,1,1,0,1,1136591,11,0
0,Dhawal Kulkarni,3,0,37,1,12.33,9,3,3,3,0,2,1136592,11,19
1,Jofra Archer,3.1,0,31,1,9.79,9,3,2,1,0,2,1136592,11,25
2,Krishnappa Gowtham,2,0,27,0,13.5,2,4,1,0,0,2,1136592,11,-6
3,Jaydev Unadkat,4,0,46,3,11.5,7,4,2,0,0,2,1136592,11,79
4,Shreyas Gopal,2,0,26,1,13,6,0,4,0,0,2,1136592,11,19
5,Ben Stokes,3,0,28,0,9.33,4,2,1,2,0,2,1136592,11,0
6,Shahbaz Nadeem,1,0,13,0,13,1,1,1,0,0,1,1136592,11,0
7,Trent Boult,3,0,26,2,8.67,5,3,0,3,0,1,1136592,11,50
8,Avesh Khan,2,0,36,0,18,2,2,4,0,0,1,1136592,11,-6
9,Liam Plunkett,3,0,37,0,12.33,5,3,3,0,0,1,1136592,11,-6
10,Amit Mishra,2,0,12,1,6,5,0,1,0,0,1,1136592,11,25
11,Glenn Maxwell,1,0,21,1,21,1,0,3,0,0,1,1136592,11,25
0,Mitchell Johnson,4,0,51,0,12.75,6,4,4,0,0,2,1136593,11,-6
1,Piyush Chawla,4,0,35,2,8.75,12,7,0,0,0,2,1136593,11,50
2,Shivam Mavi,3,0,21,0,7,6,1,1,1,0,2,1136593,11,0
3,Sunil Narine,4,0,20,2,5,10,2,0,0,0,2,1136593,11,50
4,Andre Russell,1,0,12,0,12,1,2,0,1,0,2,1136593,11,0
5,Kuldeep Yadav,4,0,34,1,8.5,5,1,2,1,0,2,1136593,11,25
6,Lungi Ngidi,3,0,36,1,12,5,4,2,1,0,1,1136593,11,19
7,KM Asif,3,0,32,1,10.67,11,1,4,1,0,1,1136593,11,25
8,Shane Watson,2,0,19,0,9.5,6,4,0,1,0,1,1136593,11,0
9,Ravindra Jadeja,4,0,39,1,9.75,7,2,1,2,0,1,1136593,11,25
10,Harbhajan Singh,3,0,20,1,6.67,10,4,0,0,0,1,1136593,11,25
11,Dwayne Bravo,1.4,0,22,0,13.2,3,4,0,2,0,1,1136593,11,0
12,Karn Sharma,1,0,11,0,11,0,1,0,0,0,1,1136593,11,0
0,Mitchell McClenaghan,4,0,31,1,7.75,12,1,3,1,0,2,1136594,11,25
1,Jasprit Bumrah,4,0,19,1,4.75,11,0,1,0,0,2,1136594,11,31
2,Hardik Pandya,4,0,44,1,11,8,5,2,3,0,2,1136594,11,25
3,Mayank Markande,3,0,29,1,9.67,6,2,2,1,0,2,1136594,11,25
4,Jean-Paul Duminy,1,0,8,0,8,1,1,0,0,0,2,1136594,11,0
5,Ben Cutting,3,0,28,1,9.33,4,1,2,0,0,2,1136594,11,25
6,Krunal Pandya,1,0,10,0,10,1,0,1,0,0,2,1136594,11,0
7,Ravichandran Ashwin,4,0,23,0,5.75,7,0,1,0,0,1,1136594,11,0
8,Ankit Rajpoot,3,0,31,0,10.33,8,2,3,0,0,1,1136594,11,0
9,Andrew Tye,4,0,35,1,8.75,8,4,1,1,0,1,1136594,11,25
10,Mujeeb Ur Rahman,4,0,37,2,9.25,11,1,4,1,0,1,1136594,11,50
11,Axar Patel,1,0,9,0,9,1,1,0,0,0,1,1136594,11,0
12,Marcus Stoinis,3,0,37,1,12.33,6,5,2,0,0,1,1136594,11,19
0,David Willey,4,0,24,1,6,12,2,1,0,0,2,1136595,11,25
1,Lungi Ngidi,4,0,24,1,6,15,3,1,1,0,2,1136595,11,25
2,Shardul Thakur,2,0,19,0,9.5,5,2,1,0,0,2,1136595,11,0
3,Ravindra Jadeja,4,0,18,3,4.5,8,0,0,0,0,2,1136595,11,85
4,Harbhajan Singh,4,0,22,2,5.5,11,3,0,0,0,2,1136595,11,50
5,Dwayne Bravo,2,0,17,0,8.5,3,1,0,0,0,2,1136595,11,0
6,Tim Southee,3,0,30,0,10,6,4,1,0,0,1,1136595,11,0
7,Yuzvendra Chahal,3,1,29,0,9.67,9,1,3,1,1,1,1136595,11,12
8,Umesh Yadav,3,0,15,2,5,13,1,1,0,0,1,1136595,11,50
9,Mohammed Siraj,2,0,18,0,9,5,0,2,0,0,1,1136595,11,0
10,Colin de Grandhomme,4,0,16,1,4,11,1,0,0,0,1,1136595,11,31
11,Murugan Ashwin,3,0,17,1,5.67,12,1,1,2,0,1,1136595,11,25
0,Bhuvneshwar Kumar,4,0,33,0,8.25,7,2,1,0,0,2,1136596,11,0
1,Sandeep Sharma,4,0,35,0,8.75,6,3,1,1,0,2,1136596,11,0
2,Shakib Al Hasan,4,0,34,0,8.5,6,1,2,0,0,2,1136596,11,0
3,Siddarth Kaul,4,0,37,1,9.25,6,4,1,1,0,2,1136596,11,25
4,Rashid Khan,4,0,23,2,5.75,9,1,1,0,0,2,1136596,11,50
5,Trent Boult,4,0,30,0,7.5,8,1,1,2,0,1,1136596,11,0
6,Avesh Khan,3,0,47,0,15.67,5,2,5,0,1,1,1136596,11,-6
7,Glenn Maxwell,1,0,4,0,4,2,0,0,0,0,1,1136596,11,0
8,Liam Plunkett,4,0,27,1,6.75,6,2,0,1,0,1,1136596,11,25
9,Amit Mishra,4,0,19,2,4.75,9,1,0,1,0,1,1136596,11,56
10,Daniel Christian,3.5,0,37,0,9.65,3,3,1,0,0,1,1136596,11,0
0,Nitish Rana,2,0,17,0,8.5,5,3,0,1,0,2,1136597,11,0
1,Prasidh Krishna,4,0,39,0,9.75,7,5,1,1,0,2,1136597,11,0
2,Mitchell Johnson,3,0,25,0,8.33,7,2,1,2,0,2,1136597,11,0
3,Sunil Narine,4,0,35,2,8.75,8,2,2,0,0,2,1136597,11,50
4,Piyush Chawla,3,0,35,0,11.67,6,4,2,0,0,2,1136597,11,0
5,Kuldeep Yadav,2,0,17,0,8.5,4,1,1,0,0,2,1136597,11,0
6,Andre Russell,2,0,12,2,6,5,1,0,1,0,2,1136597,11,50
7,Mitchell McClenaghan,4,0,30,1,7.5,10,3,1,0,0,1,1136597,11,25
8,Jasprit Bumrah,4,0,34,1,8.5,10,5,1,0,0,1,1136597,11,25
9,Hardik Pandya,4,0,19,2,4.75,13,2,0,1,0,1,1136597,11,56
10,Krunal Pandya,3,0,29,1,9.67,7,4,1,0,0,1,1136597,11,25
11,Mayank Markande,3,0,25,1,8.33,9,2,2,0,0,1,1136597,11,25
12,Ben Cutting,2,0,23,0,11.5,4,5,0,0,0,1,1136597,11,0
0,Ravichandran Ashwin,4,0,30,1,7.5,10,3,1,0,0,2,1136598,11,25
1,Ankit Rajpoot,3,0,37,1,12.33,4,7,0,0,0,2,1136598,11,19
2,Mujeeb Ur Rahman,4,0,27,3,6.75,8,3,0,1,0,2,1136598,11,79
3,Axar Patel,4,0,21,1,5.25,7,1,0,0,0,2,1136598,11,25
4,Andrew Tye,4,0,24,2,6,7,2,0,0,0,2,1136598,11,50
5,Marcus Stoinis,1,0,6,0,6,1,0,0,0,0,2,1136598,11,0
6,Krishnappa Gowtham,3,0,18,1,6,11,3,0,1,0,1,1136598,11,25
7,Jofra Archer,3.4,0,43,1,11.73,7,4,2,1,0,1,1136598,11,25
8,Ben Stokes,3,0,22,1,7.33,4,2,0,0,0,1,1136598,11,25
9,Jaydev Unadkat,4,0,26,0,6.5,12,2,1,1,0,1,1136598,11,0
10,Shreyas Gopal,3,0,26,0,8.67,5,1,2,0,0,1,1136598,11,0
11,Anureet Singh,2,0,20,1,10,3,1,1,0,0,1,1136598,11,25
0,Moeen Ali,3,0,19,0,6.33,6,2,0,0,0,2,1136599,11,0
1,Umesh Yadav,4,0,36,1,9,8,4,1,2,0,2,1136599,11,25
2,Tim Southee,4,0,30,3,7.5,8,4,0,1,0,2,1136599,11,79
3,Mohammed Siraj,4,0,25,3,6.25,12,2,1,1,0,2,1136599,11,79
4,Yuzvendra Chahal,4,0,25,1,6.25,9,1,1,0,1,2,1136599,11,25
5,Colin de Grandhomme,1,0,8,0,8,2,1,0,1,0,2,1136599,11,0
6,Sandeep Sharma,4,0,20,1,5,10,1,0,1,0,1,1136599,11,25
7,Bhuvneshwar Kumar,4,0,27,1,6.75,10,4,0,0,0,1,1136599,11,25
8,Shakib Al Hasan,4,0,36,2,9,7,4,1,0,0,1,1136599,11,50
9,Siddarth Kaul,4,0,25,1,6.25,6,2,0,0,0,1,1136599,11,25
10,Rashid Khan,4,0,31,1,7.75,12,2,2,2,0,1,1136599,11,25
0,Marcus Stoinis,2,0,15,1,7.5,4,2,0,0,0,2,1136600,11,25
1,Axar Patel,3,0,24,0,8,7,2,1,0,0,2,1136600,11,0
2,Mohit Sharma,3,0,29,0,9.67,7,3,1,1,1,2,1136600,11,0
3,Andrew Tye,4,0,34,4,8.5,7,3,1,0,0,2,1136600,11,108
4,Ravichandran Ashwin,4,0,34,0,8.5,4,2,1,0,0,2,1136600,11,0
5,Mujeeb Ur Rahman,4,0,21,2,5.25,8,1,0,0,0,2,1136600,11,50
6,Krishnappa Gowtham,3,0,12,2,4,10,1,0,1,0,1,1136600,11,56
7,Jofra Archer,4,0,32,1,8,8,3,1,0,0,1,1136600,11,25
8,Jaydev Unadkat,4,0,36,1,9,6,3,1,0,1,1,1136600,11,25
9,Ben Stokes,2,0,13,1,6.5,6,2,0,0,0,1,1136600,11,25
10,Ish Sodhi,4,0,14,1,3.5,12,0,0,0,0,1,1136600,11,31
11,Mahipal Lomror,2,0,19,0,9.5,1,2,0,0,0,1,1136600,11,0
12,Anureet Singh,1,0,12,0,12,1,2,0,0,0,1,1136600,11,0
0,Andre Russell,2,0,16,0,8,4,2,0,2,0,2,1136601,11,0
1,Prasidh Krishna,4,0,41,1,10.25,8,4,2,1,0,2,1136601,11,25
2,Tom Curran,3,0,33,1,11,5,2,2,1,1,2,1136601,11,25
3,Sunil Narine,4,0,27,1,6.75,11,1,2,0,0,2,1136601,11,25
4,Piyush Chawla,4,0,48,3,12,10,6,3,0,0,2,1136601,11,73
5,Kuldeep Yadav,3,0,43,0,14.33,5,1,5,0,0,2,1136601,11,-6
6,Mitchell McClenaghan,3,0,24,1,8,11,4,1,0,0,1,1136601,11,25
7,Krunal Pandya,3.1,0,12,2,3.79,12,0,1,0,0,1,1136601,11,56
8,Jasprit Bumrah,3,0,17,1,5.67,10,1,1,0,0,1,1136601,11,25
9,Hardik Pandya,3,0,16,2,5.33,11,3,0,0,0,1,1136601,11,50
10,Mayank Markande,4,0,26,1,6.5,10,2,1,0,0,1,1136601,11,25
11,Ben Cutting,2,0,12,1,6,6,2,0,0,0,1,1136601,11,25
0,Bhuvneshwar Kumar,4,0,51,1,12.75,11,5,4,1,0,2,1136602,11,19
1,Sandeep Sharma,4,0,24,0,6,11,2,1,0,0,2,1136602,11,0
2,Shakib Al Hasan,4,0,27,2,6.75,8,2,1,0,0,2,1136602,11,50
3,Siddarth Kaul,4,0,48,0,12,5,6,2,0,0,2,1136602,11,-6
4,Rashid Khan,4,0,35,0,8.75,7,4,1,0,0,2,1136602,11,0
5,Trent Boult,3.5,0,43,0,11.22,5,6,1,0,0,1,1136602,11,0
6,Harshal Patel,4,0,32,1,8,9,5,0,0,0,1,1136602,11,25
7,Shahbaz Nadeem,2,0,22,0,11,2,0,2,0,0,1,1136602,11,0
8,Liam Plunkett,4,0,41,0,10.25,3,4,1,0,0,1,1136602,11,0
9,Amit Mishra,3,0,29,0,9.67,3,3,1,0,0,1,1136602,11,0
10,Vijay Shankar,1,0,14,0,14,1,1,1,1,0,1,1136602,11,0
11,Glenn Maxwell,1,0,9,0,9,1,1,0,0,0,1,1136602,11,0
0,Krishnappa Gowtham,3,0,28,0,9.33,2,4,0,0,0,2,1136603,11,0
1,Ankit Sharma,1,0,11,0,11,1,2,0,0,0,2,1136603,11,0
2,Jofra Archer,4,0,42,2,10.5,5,4,0,5,1,2,1136603,11,50
3,Ben Stokes,4,0,31,0,7.75,7,4,0,1,0,2,1136603,11,0
4,Jaydev Unadkat,4,0,34,0,8.5,8,0,2,4,0,2,1136603,11,0
5,Ish Sodhi,4,0,29,1,7.25,8,0,2,0,0,2,1136603,11,25
6,David Willey,4,0,47,1,11.75,5,5,2,1,0,1,1136603,11,25
7,Harbhajan Singh,2,0,29,1,14.5,5,4,2,0,0,1,1136603,11,19
8,Ravindra Jadeja,4,0,28,1,7,8,3,0,0,0,1,1136603,11,25
9,Shardul Thakur,4,0,22,1,5.5,14,3,0,1,0,1,1136603,11,25
10,Karn Sharma,1,0,10,0,10,2,1,0,0,0,1,1136603,11,0
11,Dwayne Bravo,3.5,0,31,1,8.09,10,1,2,0,0,1,1136603,11,25
12,Shane Watson,1,0,9,0,9,0,1,0,0,0,1,1136603,11,0
0,Mohit Sharma,4,0,40,1,10,8,4,2,1,0,2,1136604,11,25
1,Mujeeb Ur Rahman,2.2,0,28,0,12,4,2,2,0,0,2,1136604,11,-6
2,Ravichandran Ashwin,2.4,0,36,0,13.5,3,4,2,1,0,2,1136604,11,-6
3,Barinder Sran,3,0,48,1,16,5,5,4,0,0,2,1136604,11,19
4,Andrew Tye,4,0,41,4,10.25,7,4,2,2,0,2,1136604,11,108
5,Axar Patel,4,0,52,0,13,4,5,3,1,0,2,1136604,11,-6
6,Sunil Narine,4,0,44,1,11,6,2,4,0,0,1,1136604,11,25
7,Prasidh Krishna,4,0,31,2,7.75,10,3,1,2,0,1,1136604,11,50
8,Javon Searles,4,0,52,1,13,4,3,4,3,0,1,1136604,11,19
9,Andre Russell,4,0,41,3,10.25,10,2,4,0,0,1,1136604,11,79
10,Kuldeep Yadav,2,0,29,1,14.5,2,1,3,1,0,1,1136604,11,19
11,Piyush Chawla,2,0,16,0,8,1,1,0,0,0,1,1136604,11,0
0,Yuzvendra Chahal,4,0,28,2,7,9,2,1,0,0,2,1136605,11,50
1,Umesh Yadav,3,0,28,0,9.33,8,4,1,1,0,2,1136605,11,0
2,Tim Southee,4,0,41,0,10.25,7,2,2,2,1,2,1136605,11,0
3,Moeen Ali,4,0,25,1,6.25,9,1,1,2,0,2,1136605,11,25
4,Mohammed Siraj,4,0,46,1,11.5,7,3,4,0,0,2,1136605,11,25
5,Colin de Grandhomme,1,0,12,0,12,0,2,0,0,0,2,1136605,11,0
6,Sandeep Lamichhane,4,0,25,1,6.25,10,2,1,0,0,1,1136605,11,25
7,Trent Boult,4,0,40,2,10,5,2,3,0,0,1,1136605,11,50
8,Junior Dala,3,0,34,0,11.33,7,3,2,1,0,1,1136605,11,0
9,Harshal Patel,4,0,51,1,12.75,8,6,2,3,0,1,1136605,11,19
10,Amit Mishra,4,0,33,1,8.25,7,1,2,1,0,1,1136605,11,25
0,Deepak Chahar,4,0,16,1,4,14,1,0,3,0,2,1136606,11,31
1,Shardul Thakur,4,0,32,2,8,10,3,1,3,0,2,1136606,11,50
2,David Willey,2,0,24,0,12,3,5,0,0,0,2,1136606,11,-6
3,Harbhajan Singh,2,0,26,0,13,0,1,2,1,0,2,1136606,11,-6
4,Shane Watson,2,0,15,0,7.5,6,1,1,1,0,2,1136606,11,0
5,Dwayne Bravo,4,0,39,1,9.75,6,5,0,2,0,2,1136606,11,25
6,Ravindra Jadeja,2,0,24,0,12,2,1,2,0,0,2,1136606,11,-6
7,Sandeep Sharma,4,0,36,1,9,8,2,2,1,0,1,1136606,11,25
8,Bhuvneshwar Kumar,4,0,38,0,9.5,8,2,3,0,0,1,1136606,11,0
9,Rashid Khan,4,0,25,0,6.25,10,2,1,0,0,1,1136606,11,0
10,Shakib Al Hasan,4,0,41,0,10.25,5,4,2,0,0,1,1136606,11,0
11,Siddarth Kaul,3,0,40,0,13.33,3,3,3,0,0,1,1136606,11,-6
0,Krishnappa Gowtham,2,0,23,0,11.5,5,3,1,2,0,2,1136607,11,0
1,Dhawal Kulkarni,4,0,43,1,10.75,8,7,1,0,0,2,1136607,11,25
2,Jofra Archer,4,0,16,2,4,14,0,0,3,0,2,1136607,11,56
3,Ben Stokes,4,0,26,2,6.5,11,2,1,1,0,2,1136607,11,50
4,Shreyas Gopal,2,0,21,0,10.5,2,0,2,0,0,2,1136607,11,0
5,Jaydev Unadkat,4,0,37,1,9.25,8,3,2,1,0,2,1136607,11,25
6,Jasprit Bumrah,3,0,34,1,11.33,6,4,1,1,0,1,1136607,11,25
7,Mitchell McClenaghan,4,0,28,0,7,12,4,0,3,0,1,1136607,11,0
8,Krunal Pandya,4,0,24,0,6,8,1,1,0,0,1,1136607,11,0
9,Hardik Pandya,4,0,52,2,13,7,4,4,0,0,1,1136607,11,44
10,Mayank Markande,3,0,32,0,10.67,2,3,1,0,0,1,1136607,11,0
0,Umesh Yadav,4,0,23,3,5.75,15,1,2,0,0,2,1136608,11,79
1,Tim Southee,2,0,19,0,9.5,7,3,1,0,0,2,1136608,11,0
2,Mohammed Siraj,3,0,17,1,5.67,10,1,1,1,0,2,1136608,11,25
3,Yuzvendra Chahal,2,0,6,1,3,6,0,0,0,0,2,1136608,11,31
4,Colin de Grandhomme,2,0,8,1,4,6,0,0,2,0,2,1136608,11,31
5,Moeen Ali,2.1,0,13,1,6,5,0,1,0,0,2,1136608,11,25
6,Ravichandran Ashwin,1,0,9,0,9,0,1,0,0,0,1,1136608,11,0
7,Andrew Tye,4,0,33,0,8.25,9,4,1,0,0,1,1136608,11,0
8,Ankit Rajpoot,1.1,0,21,0,18,2,3,1,1,1,1,1136608,11,0
9,Mohit Sharma,1,0,15,0,15,0,3,0,0,0,1,1136608,11,0
10,Marcus Stoinis,1,0,12,0,12,1,2,0,0,0,1,1136608,11,0
0,Shivam Mavi,4,0,44,1,11,10,5,3,0,0,2,1136609,11,25
1,Prasidh Krishna,4,0,35,2,8.75,10,5,1,0,0,2,1136609,11,50
2,Sunil Narine,4,0,29,1,7.25,12,5,0,1,0,2,1136609,11,25
3,Andre Russell,3,0,13,2,4.33,8,0,0,0,0,2,1136609,11,56
4,Kuldeep Yadav,4,0,20,4,5,8,1,0,0,0,2,1136609,11,108
5,Krishnappa Gowtham,2,0,32,0,16,1,2,3,0,0,1,1136609,11,-6
6,Ben Stokes,4,1,15,3,3.75,14,1,0,1,0,1,1136609,11,97
7,Jofra Archer,4,0,43,0,10.75,10,6,2,0,0,1,1136609,11,0
8,Ish Sodhi,4,0,21,1,5.25,11,2,0,0,0,1,1136609,11,25
9,Jaydev Unadkat,3,0,23,0,7.67,7,4,0,0,0,1,1136609,11,0
10,Anureet Singh,1,0,10,0,10,0,1,0,0,0,1,1136609,11,0
0,Ankit Rajpoot,4,0,46,1,11.5,10,5,3,2,0,2,1136610,11,25
1,Mohit Sharma,3,0,34,0,11.33,8,2,3,1,1,2,1136610,11,0
2,Andrew Tye,4,0,16,4,4,15,1,0,1,0,2,1136610,11,114
3,Axar Patel,3,0,24,0,8,2,0,1,1,0,2,1136610,11,0
4,Ravichandran Ashwin,3,0,18,2,6,5,0,1,0,0,2,1136610,11,50
5,Marcus Stoinis,3,0,43,1,14.33,3,4,3,0,0,2,1136610,11,19
6,Mitchell McClenaghan,4,0,37,2,9.25,10,4,2,1,0,1,1136610,11,50
7,Jasprit Bumrah,4,0,15,3,3.75,11,0,0,1,0,1,1136610,11,85
8,Hardik Pandya,4,0,42,0,10.5,6,3,2,2,0,1,1136610,11,0
9,Krunal Pandya,4,0,36,0,9,4,5,0,0,0,1,1136610,11,0
10,Mayank Markande,3,0,34,0,11.33,0,1,2,1,0,1,1136610,11,0
11,Ben Cutting,1,0,15,0,15,0,3,0,0,0,1,1136610,11,0
0,Sandeep Sharma,4,0,40,1,10,8,4,2,1,0,2,1136611,11,25
1,Shakib Al Hasan,4,0,35,0,8.75,5,3,1,0,0,2,1136611,11,0
2,Rashid Khan,4,0,27,3,6.75,12,3,1,0,0,2,1136611,11,79
3,Siddarth Kaul,4,0,44,2,11,8,5,2,0,0,2,1136611,11,50
4,Basil Thampi,4,0,70,0,17.5,2,5,6,1,0,2,1136611,11,-6
5,Umesh Yadav,4,0,31,0,7.75,10,2,2,0,0,1,1136611,11,0
6,Tim Southee,4,0,45,0,11.25,6,5,2,1,0,1,1136611,11,0
7,Yuzvendra Chahal,4,0,28,1,7,9,3,0,1,0,1,1136611,11,25
8,Mohammed Siraj,4,0,43,1,10.75,9,2,4,1,0,1,1136611,11,25
9,Moeen Ali,2,0,21,1,10.5,2,2,1,0,0,1,1136611,11,25
10,Colin de Grandhomme,2,0,34,0,17,0,2,3,0,0,1,1136611,11,-6
0,Deepak Chahar,3,0,23,1,7.67,11,3,1,2,0,2,1136612,11,25
1,Lungi Ngidi,3,0,14,2,4.67,10,1,0,2,0,2,1136612,11,56
2,Ravindra Jadeja,4,0,19,1,4.75,10,1,0,0,0,2,1136612,11,31
